fields_absent,fields_present,file_digest,historical_final_status,path,provider_id,record_count,record_granularity,split_identity,usable_measurement_types
[],"[""calibration_digest"", ""final_metrics"", ""next_action"", ""outcome"", ""run_manifest_digest"", ""selected_quantile"", ""selection_status"", ""translation_families"", ""usefulness_status""]",sha256:1734228dc007deddcb533a46b021d86e1c00997a95b9535ff8f8c7b386a5372a,historical_final,docs/results/visual-address-system-b-v2/final-summary.json,system-b-v2,1,artifact,mixed_or_artifact,"[""aggregate_metric_verification""]"
[],"[""argv"", ""branch"", ""command"", ""completed_utc"", ""dataset_digest"", ""dirty"", ""environment_digest"", ""final_report_digest"", ""generator_version"", ""git_commit"", ""run_manifest_digest"", ""selection_digest"", ""started_utc"", ""trace_digest"", ""version""]",sha256:76eda74ceaae76c523a61943347f745521a5d45c0d91846eee05ca1e7b86e62a,historical_final,docs/results/visual-address-system-b-v2/run-manifest.json,system-b-v2,1,artifact,mixed_or_artifact,[]
[],"[""decision"", ""expected_accept"", ""expected_action_id"", ""expected_disposition"", ""expected_row_id"", ""family_id"", ""observation_id"", ""predicted_action_id"", ""predicted_row_id"", ""split"", ""top1_action_id"", ""top1_row_id""]",sha256:38a63ac0391fa8873801e2ade66fe5b15200bb8128026408bde25b6713da770a,historical_final,docs/results/visual-address-system-b-v2/traces.jsonl,system-b-v2,1886,observation,final_evaluation,"[""per_observation_top1_rescore""]"
[],"[""calibration_digest"", ""final_metrics"", ""next_action"", ""outcome"", ""selected_quantile"", ""selection_digest"", ""usefulness_status""]",sha256:d4dd54639228efb56b79c7962c0f670cdfd0dd84d9ba83e75b9ecd9bdd9dd7cc,historical_final,docs/results/visual-local-baseline-showdown-v1/final-summary.json,r1-local-correlation,1,artifact,mixed_or_artifact,"[""aggregate_metric_verification""]"
[],"[""argv"", ""branch_or_ref"", ""bundle_manifest_path"", ""calibration_digest"", ""candidate_grid_digest"", ""completed_utc"", ""dataset_digest"", ""dependency_versions"", ""dirty_after_run"", ""dirty_at_start"", ""exact_command"", ""final_report_payload_digest"", ""generated_paths"", ""generator_version"", ""git_commit"", ""platform"", ""python_version"", ""registration_config_digest"", ""selection_digest"", ""started_utc"", ""starting_main_sha"", ""trace_digest"", ""version""]",sha256:f407ef60ef1c1ea4dfb7b44166fd331178f9ba8c383439ffe2b2e3a53fd02a37,historical_final,docs/results/visual-local-baseline-showdown-v1/run-manifest.json,r1-local-correlation,1,artifact,mixed_or_artifact,[]
[],"[""decision"", ""expected_accept"", ""expected_action_id"", ""expected_disposition"", ""expected_row_id"", ""family_id"", ""observation_id"", ""predicted_action_id"", ""predicted_row_id"", ""split"", ""top1_action_id"", ""top1_row_id""]",sha256:c1416850155cb464a70b55fd8856a240ea4d86b6ae3f85afb1948899469dbfec,historical_final,docs/results/visual-local-baseline-showdown-v1/traces.jsonl,r1-local-correlation,1886,observation,final_evaluation,"[""per_observation_top1_rescore""]"
[],"[""benchmark_version"", ""benign_calibration_ids"", ""families"", ""final_frame_ids"", ""frame_dataset_digest"", ""policy_artifact_id"", ""prototype_ids"", ""rejection_calibration_ids"", ""seed"", ""video_case_ids"", ""video_case_manifest_ids""]",sha256:720a63403d366ca100d4d71eeb51a72812fa2328580fdf5549584e3f478bc644,historical_final,docs/results/video-policy-reader-v1/benchmark-manifest.json,stage3-v1,1,artifact,mixed_or_artifact,[]
[],"[""benchmark_version"", ""case_summaries"", ""frame_split_counts""]",sha256:6980b2657a8e818bc723240531a2b353e617fc5d22da1977ac5467d49ccdf998,historical_final,docs/results/video-policy-reader-v1/split-manifest.json,stage3-v1,1,artifact,mixed_or_artifact,[]
[],"[""V0"", ""V1"", ""V2"", ""V3"", ""benchmark_version"", ""materially_improved"", ""paired_v2_v3""]",sha256:e577b4ad99d2895c9e708803a58d4584df916ac47de720d3d47c4f4ccb519edb,historical_final,docs/results/video-policy-reader-v1/final-metrics.json,stage3-v1,1,artifact,mixed_or_artifact,"[""aggregate_metric_verification""]"
[],"[""V1"", ""V2"", ""V3""]",sha256:bad0294c81c998bcae73e63a5ee8ef7b7095c07a73e144a0efe98b76ede5e39a,historical_final,docs/results/video-policy-reader-v1/sequence-results.json,stage3-v1,1,artifact,mixed_or_artifact,[]
[],"[""V2_accepted"", ""V2_correct"", ""V2_predicted_action"", ""V2_predicted_row"", ""V2_rejection_reason"", ""V3_accepted"", ""V3_correct"", ""V3_predicted_action"", ""V3_predicted_row"", ""V3_rejection_reason"", ""clip_id"", ""expected_action"", ""expected_row"", ""frame_id"", ""paired_outcome_category"", ""temporal_classification""]",sha256:156e211406fcbbca63aa329b42aec26ade6fc260549d47fac8a458aafef9707d,historical_final,docs/results/video-policy-reader-v1/paired-v2-v3.csv,stage3-v1,132,observation,final_evaluation,"[""frame_level_top1_comparison_only""]"
[],"[""benchmark_manifest_digest"", ""final_metrics_digest"", ""output_dir"", ""paired_results_digest"", ""provider_contract_digest"", ""selected_operating_point_digest"", ""sequence_results_digest"", ""split_manifest_digest"", ""transition_contract_digest""]",sha256:4c4cf1b861fc816c82e53dec47697fcdf2ef7814e7889014efc0f217463a1926,historical_final,docs/results/video-policy-reader-v1/verification-digests.json,stage3-v1,1,artifact,mixed_or_artifact,[]
[],[],sha256:68660dcdc7cf84bdc4ae4858adfc21d85a2db62e599004ca10130aa3cc2b6060,historical_final,docs/results/video-policy-reader-v1/reproduction.md,stage3-v1,1,artifact,mixed_or_artifact,[]
[],[],sha256:43f23fa37dcf41928212cac3fb65eae09b00a16729087bc47057e208756f70ca,historical_final,docs/results/video-policy-reader-v1/implementation.md,stage3-v1,1,artifact,mixed_or_artifact,[]
[],"[""amendment_commit"", ""benchmark_digest"", ""benchmark_version"", ""final_seed_digest"", ""final_seed_material"", ""generator_identity"", ""generator_version"", ""metadata"", ""policy_artifact_id"", ""preregistration_commit"", ""record_count"", ""source_scope""]",sha256:c47a79847b8995e0d2676630cfd70a03e4729bff5170d76d9bb2a96a3984136b,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v2/benchmark-manifest.json,stage3-v2,1,artifact,mixed_or_artifact,[]
[],"[""amendment_commit_sha"", ""benchmark_version"", ""evaluation_sample_row_ids"", ""evaluation_sample_size"", ""family_definitions"", ""generator_identity_digest"", ""generator_version"", ""grid_definitions"", ""mask_parameters"", ""region_definitions"", ""repository_commit_sha"", ""sampling_algorithm_version"", ""seed_digest"", ""seed_material"", ""source_file_digests""]",sha256:437aa175a5101273081d8ec287f76ebd043742d4a379b02c702004cb878acd8d,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v2/generator-identity.json,stage3-v2,1,artifact,mixed_or_artifact,[]
[],"[""architecture"", ""candidate_set_outcome"", ""candidate_set_rows"", ""collision_group_actions"", ""collision_group_rows"", ""conflicting_action_separation"", ""expected_action"", ""expected_row"", ""expected_row_available_fraction"", ""expected_row_available_mass"", ""expected_row_candidate_eligible"", ""expected_row_contradiction"", ""expected_row_critical_contradiction"", ""expected_row_exact_eligible"", ""expected_row_rank"", ""expected_row_strength"", ""expected_row_support"", ""expected_row_supporting_regions"", ""maximum_strength"", ""observation_id"", ""prototype_collision_class"", ""rejection_reason"", ""winner_action"", ""winner_margin"", ""winner_row""]",sha256:da85372cdcfcdd0e8aae363c0727759b647a4cc8dc56ee6553947205d0054e00,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v2/exact-sanity.csv,stage3-v2,36,observation,mixed_or_artifact,"[""canonical_diagnostic_rescore""]"
[],"[""architectures"", ""direct_provider_equivalence"", ""observation_count"", ""sanity_valid""]",sha256:495fd9976a3af95c13b710e828a3d7fa0374aa7635893fb600a126e3a0697751,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v2/exact-sanity-summary.json,stage3-v2,1,observation,mixed_or_artifact,[]
[],"[""amendment_commit"", ""benchmark_digest"", ""benchmark_version"", ""final_seed_digest"", ""final_seed_material"", ""generator_identity"", ""generator_version"", ""metadata"", ""policy_artifact_id"", ""preregistration_commit"", ""record_count"", ""source_scope""]",sha256:0579f8aabf8fa477ac2c259eec223995f7678a7904ba595566893442b736ead9,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v3/benchmark-manifest.json,stage3-v3-b3,1,artifact,mixed_or_artifact,[]
[],"[""amendment_commit_sha"", ""benchmark_version"", ""evaluation_sample_row_ids"", ""evaluation_sample_size"", ""family_definitions"", ""generator_identity_digest"", ""generator_version"", ""mask_parameters"", ""mechanics_version"", ""operational_contract_digest"", ""provider_version"", ""region_definitions"", ""repository_commit_sha"", ""sampling_algorithm_version"", ""seed_digest"", ""seed_material"", ""source_file_digests""]",sha256:4bad6de3380a41399fd1688ba402a067ad10cc1c0517ac197355baa1501656d4,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v3/generator-identity.json,stage3-v3-b3,1,artifact,mixed_or_artifact,[]
[],"[""architecture"", ""candidate_set_outcome"", ""exact_accepted_row"", ""expected_candidate_joint_fit"", ""expected_candidate_rank"", ""expected_candidate_scored_mass"", ""expected_candidate_strength"", ""expected_conflicting_action_margin"", ""expected_minimum_pairwise_margin"", ""expected_row_candidate_set_eligibility"", ""expected_row_exact_eligibility"", ""lexical_ordering_affected_outcome"", ""observation_action"", ""observation_row"", ""runner_up_row"", ""runner_up_strength"", ""semantic_tie_rows"", ""semantic_tie_size"", ""winner_row"", ""winner_strength"", ""winner_superiority_margin""]",sha256:67fd72439cf14dbc6cc58d365427fd9cdc2f96a447720d67d183530956b7a245,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v3/canonical-self-retrieval.csv,stage3-v3-b3,448,observation,mixed_or_artifact,"[""canonical_diagnostic_rescore""]"
[],"[""architectures"", ""canonical_observation_count""]",sha256:b9d199eefbb6874581b0edf3c081c7e2919cf2fb251f9e7a717e202b668bc5ca,diagnostic_or_generator,docs/results/video-discriminative-local-evidence-v3/canonical-self-retrieval-summary.json,stage3-v3-b3,1,observation,mixed_or_artifact,[]
