V2_accepted,V2_correct,V2_predicted_action,V2_predicted_row,V2_rejection_reason,V3_accepted,V3_correct,V3_predicted_action,V3_predicted_row,V3_rejection_reason,clip_id,expected_action,expected_row,frame_id,paired_outcome_category,temporal_classification
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,RIGHT,tank=1|target=6|cooldown=0,sha256:03bf7a53f31b5321d5d6bae9f8f1e2833ac16fc52667361e7dbd30b9b5b1aa39,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,RIGHT,tank=3|target=5|cooldown=0,sha256:0433f62feb6ffa4689d7e87e4994d2f678d1cb441654feaf076bc2dc83b55d90,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:05b35b731a4b0934317aab621069b0e760a665f6b1f1b2079b47de588ae5d551,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:05c106754de55e874b5e2b28039eb6af8075bbabb5485558fa6ff265a620649a,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,RIGHT,tank=5|target=6|cooldown=0,sha256:086b40b2cebc1d88ef07c20bb469decafeefe7a4e4c219402691ee657137abda,rejected_by_both,benign_exact
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,RIGHT,tank=4|target=6|cooldown=0,sha256:094c497fe9eb28ec0785683c38dfe1cff19e037e1b3ab048162499e2743cc8eb,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-occlusion,RIGHT,tank=2|target=6|cooldown=0,sha256:0fd2d5b6c9552699a607d0f07e6eb2e2b36d22b35c1ad6fb72bdf89b869b70cc,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:122fe31c629adf2905feba176158bfc4620857864b5db28144238983619c1223,rejected_by_both,reordered_frames
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,LEFT,tank=1|target=0|cooldown=0,sha256:12424dabb5ffa15b00e9263b1d8d3095d67530e719796176b0adac2d791054b8,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:143b2a21c303ec04b91e597f8c15f171953f575dd49f6d30778aba25d64f550a,rejected_by_both,reordered_frames
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:1524a1225a799c34627399ed99a70a4ccff30093c01c293955408b18c07097b5,rejected_by_both,stale_repeated_pixels
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:15659b5b31540cc4feec48e2fc8ebf90609fd6fdba654d82b3e474df3f951aea,rejected_by_both,stale_repeated_pixels
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:20ecd55d99eda6fbc2de6b62ef5bd56e6b767990981668be3fce91c2f0a3b9c1,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,RIGHT,tank=2|target=5|cooldown=0,sha256:224ffe1bb07d1dac131f7fb90f89040300935afeb7983144dd6460a97c2f9b92,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:22ea925e936975382927d4d068fd1f282b092b3c3fcb55bc1edd9e07c139fe4a,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:2506a9bf81e8095f80067ca53cf7607c9d68cf19fc11d1d505cfb66fb01d4af1,rejected_by_both,critical_evidence_removed
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,LEFT,tank=3|target=0|cooldown=0,sha256:26730ee7658c81111b3c9a29ebd31cb4da6a110842c22731b866b164fb3d4d83,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,RIGHT,tank=0|target=6|cooldown=1,sha256:2d6a4a7feacf0303f66ff9e5554ffb54f03ff4386e27661c39eb18281661f416,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:305d9937e9644ffe40bc8b1b160bb5bcea2c1b720383ed157b0fc9ce60e584b3,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:314fd8490dee326e52e63556451ed40af00ca26cf07dd94c4def78dec01980b0,rejected_by_both,stale_repeated_pixels
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,FIRE,tank=6|target=6|cooldown=0,sha256:31afcd58af4c99422122b906e96cd5d3d0c4cfd9e99b36702a6dbaaf25da4418,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,LEFT,tank=2|target=1|cooldown=0,sha256:36032e732c1d311a63ee3eb5456fde272acad7337ff24a0b9529c733feed6479,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,RIGHT,tank=2|target=6|cooldown=0,sha256:369ae03fa781c2f8d9442a19713cb235af01a737f7120b2bd6af27aa1ad0aa40,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:371f9463f6ecbff88d3cf698ac96a83d09a5841989480e2a69f6eee9089725be,rejected_by_both,stale_repeated_pixels
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,FIRE,tank=0|target=0|cooldown=0,sha256:378b9f3ee62bbbea40ff0682c459abcb6f8739519bfc6189de11d8ae9f7b575e,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,LEFT,tank=6|target=1|cooldown=1,sha256:38051d93838161102870fd031f0c1ad83971d513b82e66f1b2fb20ed1014def0,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:3831e8363f9522e01dc1bbdbc2f8c5459b1732ed2e98df21f99d287370955ec7,rejected_by_both,stale_repeated_pixels
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,FIRE,tank=0|target=0|cooldown=0,sha256:384b461fc28358f81b9cc3b90ea60bf6590294bea9255ede240a15e2d65e8911,rejected_by_both,benign_exact
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,FIRE,tank=6|target=6|cooldown=0,sha256:3ad840c642ceb629742152f58de54de63d4d7acabeeb3c6fb25992eeed3af29e,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:3b738161a65beb2f8d6414db1586c3a6183a3c93ca16d87cc71b37a30923e998,rejected_by_both,critical_evidence_removed
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,LEFT,tank=3|target=1|cooldown=0,sha256:3d307060508748301592f8847835bd631d55c3d4743734064d1ba4fcc85dfb2d,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,RIGHT,tank=4|target=6|cooldown=0,sha256:3e8037c140d06a6a06c79f2b44950bf89c4cbba61626565e103deff9c855fff1,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:3eca50c2912e20afb7b5d7906dae2fd0275ab211c09bc35dd27665ab7528ef9e,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:402344a88cd8fcbf4a9295063ea51e620284cb55f51e240e4bed4f2f3491c264,rejected_by_both,stale_repeated_pixels
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:420655da23f67789a369b86d469199d0ea2a618db0b2570dd00fd7160fbf1c9d,rejected_by_both,reordered_frames
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,FIRE,tank=5|target=5|cooldown=0,sha256:431d1c445a3f00e1a45bb75ae2405318c5295b8ac67bca7efaacfc40563da263,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:45c579b5b168e26e9b656d6ad25e96749cbd166a02a8933fc36a0c003b569f28,rejected_by_both,reordered_frames
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:497d3b4b0442685c8068f245abbd03b224bdabfcdcaf955260edc3aac0b00050,rejected_by_both,stale_repeated_pixels
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,RIGHT,tank=2|target=5|cooldown=0,sha256:4b0f6b60b1bbd7c58bc6e8ad05a6845c25ecad2079e29f47aa9f263813eb3431,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:4b4b77d3fe750b044d09ddcf84c4db5497c13b277e0ef7194584b6294008221c,rejected_by_both,critical_evidence_removed
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,LEFT,tank=2|target=0|cooldown=0,sha256:508498c593a61552f8c72fbbe638acb71d6c7311e1dcf6d6a6d8a857518d4cc9,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:55947d9d14266500a57fb0c272976ee89305bcbcfa008fc5cb94245955b0131e,rejected_by_both,reordered_frames
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,LEFT,tank=5|target=1|cooldown=0,sha256:564cfb7a7eb6aff7cfd5ad9378defb521b2a42f24ca2c4aa8fedd094b802174f,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,RIGHT,tank=2|target=5|cooldown=0,sha256:564d1b561991adeb3eb242bb6601e732c46e94501bdd7e0f8d7590f95996e67b,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:575657f150e75a3dfc379f315866005e4e2c4ecfa817bae3c10ee231bd1e6a1f,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,LEFT,tank=3|target=0|cooldown=0,sha256:57a9111f281258195b71fff71f580229d1f6a7852b44ed11068913924dfe9748,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:5905e599b3feacffa3215776f331a128558f2fb4986c2525cd66d1294099d57a,rejected_by_both,stale_repeated_pixels
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,LEFT,tank=2|target=1|cooldown=0,sha256:5d0628337aeacc7867de83d6817d03a5385b0fc8e10560804338a819fcc82ac7,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:5da1735832de6a51322f8629d1b91ea28768587e5b74fe3611d79a01e5a81dd9,rejected_by_both,reordered_frames
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:5e905f53bc36e3613704f3c1f11913bb85b55b781377cec98e3a648804b83cfd,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,FIRE,tank=1|target=1|cooldown=0,sha256:5f73fa9aa227f00e520f819ddee5bc0881216b2b25b634511dbdca31b5b2d417,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,RIGHT,tank=1|target=5|cooldown=1,sha256:6008e6f8c79395d2fd6f2fd69ec857755b9868690bf66e699d0a25bd33f56164,rejected_by_both,benign_shift
False,False,,,winner_threshold,False,False,,,winner_threshold,video-final-benign-occlusion,FIRE,tank=1|target=1|cooldown=0,sha256:617abdbc4c8c71eb655bc10bb7b44011c48a15384089e8c29eb2c56e98e46618,rejected_by_both,benign_occlusion
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,LEFT,tank=3|target=1|cooldown=0,sha256:677bf2e939927178bc9ca1782d14999b73d6cb8f66fd3f344a8457346c20f7ff,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,RIGHT,tank=4|target=6|cooldown=0,sha256:69567e8f893e448a25eed6968035abd071396458b2a5bb7448ef5cd9fefc45ab,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,LEFT,tank=3|target=0|cooldown=0,sha256:6ca1c994d9c47377478862762d9c1749f1bee3b219fa5e3b5a0d8b85514bf36c,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:6d3ef5f8937565d021dd6a9af0e8af733fa8902208da05a6c397a1b8515d675a,rejected_by_both,stale_repeated_pixels
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-critical,,,sha256:6e86e1125ec2ab6f1c5d2a01e5d71a6c7c2d2067aac27a8a7669364971dc8828,rejected_by_both,critical_evidence_removed
False,False,,,minimum_visible_fraction,False,False,,,frame order does not match manifest,video-final-negative-reordered,,,sha256:71309a77eb00f810dd1844070d56ce7dddf049ae7af90f8928c6e39f041c80a6,rejected_by_both,reordered_frames
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,LEFT,tank=5|target=1|cooldown=0,sha256:71eed88da007b9eb5474a47c31ddedb6e69f614ab1c049af9119f3fbd437f8bb,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-exact,LEFT,tank=4|target=1|cooldown=0,sha256:7237718948fc5a014fd6cb724cfe3679f5481aaa2e1f3baf7e54b8c6c17a4c3f,rejected_by_both,benign_exact
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,LEFT,tank=3|target=1|cooldown=0,sha256:751f03ea318aa110494534e9c5447e59e73e9371cd3c41653e628cf470ba3d97,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,RIGHT,tank=3|target=5|cooldown=0,sha256:75a92c627a917816667de23da68191fa196f6fd803f87d829bf7c5f4d4c3d278,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-benign-shift,RIGHT,tank=4|target=5|cooldown=0,sha256:75d21517158c15f6192e0302521c107ba5d94239d574b18f98bd47c836210ec6,rejected_by_both,benign_shift
False,False,,,minimum_visible_fraction,False,False,,,minimum_visible_fraction,video-final-negative-stale,,,sha256:77557639c361745fc7af17ea98b48c47b51a11304a08e96e035e3c7be4256ef6,rejected_by_both,stale_repeated_pixels
