distance_quantile,margin_quantile,threshold,ambiguity_margin,feasible,calibration_benign_coverage,calibration_false_accepts,final_benign_coverage,final_false_accepts
0.0,0.0,0.07306751140001405,0.6782577226161598,True,0.004464285714285714,0,0.0,0
0.0,0.1,0.07306751140001405,0.6491458071319933,False,0.11235119047619048,18,0.026785714285714284,0
0.0,0.2,0.07306751140001405,0.6385610012681884,False,0.20089285714285715,147,0.19196428571428573,0
0.0,0.3,0.07306751140001405,0.6162399051622468,False,0.3169642857142857,165,0.21875,0
0.0,0.4,0.07306751140001405,0.6127366469206249,False,0.43080357142857145,186,0.32589285714285715,0
0.0,0.5,0.07306751140001405,0.6070702875584469,False,0.5052083333333334,312,0.40625,0
0.0,0.6,0.07306751140001405,0.5859647871588606,False,0.6197916666666666,315,0.41294642857142855,0
0.0,0.7,0.07306751140001405,0.577387469033052,False,0.7023809523809523,336,0.4575892857142857,0
0.0,0.8,0.07306751140001405,0.5448283242937713,False,0.8169642857142857,336,0.4895833333333333,0
0.0,0.9,0.07306751140001405,0.22423151102680308,False,0.9017857142857143,360,0.6510416666666666,0
0.0,1.0,0.07306751140001405,0.06930393818799112,False,1.0,384,0.7083333333333334,0
0.1,0.0,0.05478646253182988,0.6782577226161598,True,0.004464285714285714,0,0.0,0
0.1,0.1,0.05478646253182988,0.6491458071319933,False,0.10788690476190477,18,0.026785714285714284,0
0.1,0.2,0.05478646253182988,0.6385610012681884,False,0.19642857142857142,147,0.19196428571428573,0
0.1,0.3,0.05478646253182988,0.6162399051622468,False,0.3080357142857143,165,0.21875,0
0.1,0.4,0.05478646253182988,0.6127366469206249,False,0.421875,186,0.32589285714285715,0
0.1,0.5,0.05478646253182988,0.6070702875584469,False,0.4962797619047619,312,0.40625,0
0.1,0.6,0.05478646253182988,0.5859647871588606,False,0.6108630952380952,315,0.41294642857142855,0
0.1,0.7,0.05478646253182988,0.577387469033052,False,0.6934523809523809,336,0.4575892857142857,0
0.1,0.8,0.05478646253182988,0.5448283242937713,False,0.7767857142857143,336,0.4895833333333333,0
0.1,0.9,0.05478646253182988,0.22423151102680308,False,0.8303571428571429,360,0.5833333333333334,0
0.1,1.0,0.05478646253182988,0.06930393818799112,False,0.9166666666666666,384,0.6302083333333334,0
0.2,0.0,0.03766804124455201,0.6782577226161598,True,0.004464285714285714,0,0.0,0
0.2,0.1,0.03766804124455201,0.6491458071319933,False,0.08110119047619048,18,0.026785714285714284,0
0.2,0.2,0.03766804124455201,0.6385610012681884,False,0.16964285714285715,147,0.19196428571428573,0
0.2,0.3,0.03766804124455201,0.6162399051622468,False,0.28125,165,0.21875,0
0.2,0.4,0.03766804124455201,0.6127366469206249,False,0.3950892857142857,186,0.32589285714285715,0
0.2,0.5,0.03766804124455201,0.6070702875584469,False,0.4427083333333333,312,0.40625,0
0.2,0.6,0.03766804124455201,0.5859647871588606,False,0.5513392857142857,315,0.41294642857142855,0
0.2,0.7,0.03766804124455201,0.577387469033052,False,0.6063988095238095,336,0.4575892857142857,0
0.2,0.8,0.03766804124455201,0.5448283242937713,False,0.6748511904761905,336,0.484375,0
0.2,0.9,0.03766804124455201,0.22423151102680308,False,0.7284226190476191,360,0.515625,0
0.2,1.0,0.03766804124455201,0.06930393818799112,False,0.8005952380952381,384,0.5520833333333334,0
0.3,0.0,0.03551510272626444,0.6782577226161598,True,0.004464285714285714,0,0.0,0
0.3,0.1,0.03551510272626444,0.6491458071319933,False,0.04985119047619048,18,0.026785714285714284,0
0.3,0.2,0.03551510272626444,0.6385610012681884,False,0.13839285714285715,147,0.19196428571428573,0
0.3,0.3,0.03551510272626444,0.6162399051622468,False,0.24553571428571427,165,0.21875,0
0.3,0.4,0.03551510272626444,0.6127366469206249,False,0.359375,186,0.32589285714285715,0
0.3,0.5,0.03551510272626444,0.6070702875584469,False,0.3802083333333333,312,0.40625,0
0.3,0.6,0.03551510272626444,0.5859647871588606,False,0.4888392857142857,315,0.41294642857142855,0
0.3,0.7,0.03551510272626444,0.577387469033052,False,0.5438988095238095,336,0.4575892857142857,0
0.3,0.8,0.03551510272626444,0.5448283242937713,False,0.5989583333333334,336,0.484375,0
0.3,0.9,0.03551510272626444,0.22423151102680308,False,0.6525297619047619,360,0.515625,0
0.3,1.0,0.03551510272626444,0.06930393818799112,False,0.7135416666666666,384,0.5520833333333334,0
0.4,0.0,0.02983908734570035,0.6782577226161598,True,0.004464285714285714,0,0.0,0
0.4,0.1,0.02983908734570035,0.6491458071319933,False,0.04985119047619048,18,0.026785714285714284,0
0.4,0.2,0.02983908734570035,0.6385610012681884,False,0.13616071428571427,147,0.19196428571428573,0
0.4,0.3,0.02983908734570035,0.6162399051622468,False,0.24107142857142858,165,0.21875,0
0.4,0.4,0.02983908734570035,0.6127366469206249,False,0.33705357142857145,186,0.32589285714285715,0
0.4,0.5,0.02983908734570035,0.6070702875584469,False,0.3489583333333333,312,0.40625,0
0.4,0.6,0.02983908734570035,0.5859647871588606,False,0.4523809523809524,315,0.41294642857142855,0
0.4,0.7,0.02983908734570035,0.577387469033052,False,0.47693452380952384,336,0.4575892857142857,0
0.4,0.8,0.02983908734570035,0.5448283242937713,False,0.5267857142857143,336,0.484375,0
0.4,0.9,0.02983908734570035,0.22423151102680308,False,0.5535714285714286,360,0.515625,0
0.4,1.0,0.02983908734570035,0.06930393818799112,False,0.5997023809523809,384,0.5520833333333334,0
0.5,0.0,0.01861482699582847,0.6782577226161598,True,0.004464285714285714,0,0.0,0
0.5,0.1,0.01861482699582847,0.6491458071319933,False,0.044642857142857144,18,0.026785714285714284,0
0.5,0.2,0.01861482699582847,0.6385610012681884,False,0.12723214285714285,147,0.19196428571428573,0
0.5,0.3,0.01861482699582847,0.6162399051622468,False,0.20535714285714285,165,0.21875,0
0.5,0.4,0.01861482699582847,0.6127366469206249,False,0.29910714285714285,186,0.32589285714285715,0
0.5,0.5,0.01861482699582847,0.6070702875584469,False,0.3080357142857143,312,0.40625,0
0.5,0.6,0.01861482699582847,0.5859647871588606,False,0.3802083333333333,315,0.41294642857142855,0
0.5,0.7,0.01861482699582847,0.577387469033052,False,0.4025297619047619,336,0.4575892857142857,0
0.5,0.8,0.01861482699582847,0.5448283242937713,False,0.4382440476190476,336,0.484375,0
0.5,0.9,0.01861482699582847,0.22423151102680308,False,0.4635416666666667,360,0.515625,0
0.5,1.0,0.01861482699582847,0.06930393818799112,False,0.5,384,0.5520833333333334,0
0.6,0.0,0.014889109003702865,0.6782577226161598,True,0.0,0,0.0,0
0.6,0.1,0.014889109003702865,0.6491458071319933,False,0.04017857142857143,18,0.026785714285714284,0
0.6,0.2,0.014889109003702865,0.6385610012681884,False,0.12276785714285714,147,0.19196428571428573,0
0.6,0.3,0.014889109003702865,0.6162399051622468,False,0.16964285714285715,165,0.21875,0
0.6,0.4,0.014889109003702865,0.6127366469206249,False,0.26339285714285715,186,0.32589285714285715,0
0.6,0.5,0.014889109003702865,0.6070702875584469,False,0.27232142857142855,312,0.40625,0
0.6,0.6,0.014889109003702865,0.5859647871588606,False,0.3169642857142857,315,0.41294642857142855,0
0.6,0.7,0.014889109003702865,0.577387469033052,False,0.3392857142857143,336,0.4575892857142857,0
0.6,0.8,0.014889109003702865,0.5448283242937713,False,0.3705357142857143,336,0.484375,0
0.6,0.9,0.014889109003702865,0.22423151102680308,False,0.390625,360,0.515625,0
0.6,1.0,0.014889109003702865,0.06930393818799112,False,0.421875,384,0.5520833333333334,0
0.7,0.0,0.011197983658180852,0.6782577226161598,True,0.0,0,0.0,0
0.7,0.1,0.011197983658180852,0.6491458071319933,False,0.013392857142857142,18,0.026785714285714284,0
0.7,0.2,0.011197983658180852,0.6385610012681884,False,0.09598214285714286,147,0.19196428571428573,0
0.7,0.3,0.011197983658180852,0.6162399051622468,False,0.11086309523809523,165,0.21875,0
0.7,0.4,0.011197983658180852,0.6127366469206249,False,0.20461309523809523,186,0.32589285714285715,0
0.7,0.5,0.011197983658180852,0.6070702875584469,False,0.20907738095238096,312,0.40625,0
0.7,0.6,0.011197983658180852,0.5859647871588606,False,0.24479166666666666,315,0.41294642857142855,0
0.7,0.7,0.011197983658180852,0.577387469033052,False,0.26711309523809523,336,0.453125,0
0.7,0.8,0.011197983658180852,0.5448283242937713,False,0.27157738095238093,336,0.453125,0
0.7,0.9,0.011197983658180852,0.22423151102680308,False,0.28720238095238093,360,0.484375,0
0.7,1.0,0.011197983658180852,0.06930393818799112,False,0.3072916666666667,384,0.515625,0
0.8,0.0,0.0,0.6782577226161598,True,0.0,0,0.0,0
0.8,0.1,0.0,0.6491458071319933,False,0.013392857142857142,18,0.013392857142857142,0
0.8,0.2,0.0,0.6385610012681884,False,0.09598214285714286,147,0.0974702380952381,0
0.8,0.3,0.0,0.6162399051622468,False,0.109375,165,0.11086309523809523,0
0.8,0.4,0.0,0.6127366469206249,False,0.203125,186,0.21354166666666666,0
0.8,0.5,0.0,0.6070702875584469,False,0.203125,312,0.21354166666666666,0
0.8,0.6,0.0,0.5859647871588606,False,0.20535714285714285,315,0.21651785714285715,0
0.8,0.7,0.0,0.577387469033052,False,0.21875,336,0.234375,0
0.8,0.8,0.0,0.5448283242937713,False,0.21875,336,0.234375,0
0.8,0.9,0.0,0.22423151102680308,False,0.234375,360,0.25,0
0.8,1.0,0.0,0.06930393818799112,False,0.25,384,0.265625,0
0.9,0.0,0.0,0.6782577226161598,True,0.0,0,0.0,0
0.9,0.1,0.0,0.6491458071319933,False,0.013392857142857142,18,0.013392857142857142,0
0.9,0.2,0.0,0.6385610012681884,False,0.09598214285714286,147,0.0974702380952381,0
0.9,0.3,0.0,0.6162399051622468,False,0.109375,165,0.11086309523809523,0
0.9,0.4,0.0,0.6127366469206249,False,0.203125,186,0.21354166666666666,0
0.9,0.5,0.0,0.6070702875584469,False,0.203125,312,0.21354166666666666,0
0.9,0.6,0.0,0.5859647871588606,False,0.20535714285714285,315,0.21651785714285715,0
0.9,0.7,0.0,0.577387469033052,False,0.21875,336,0.234375,0
0.9,0.8,0.0,0.5448283242937713,False,0.21875,336,0.234375,0
0.9,0.9,0.0,0.22423151102680308,False,0.234375,360,0.25,0
0.9,1.0,0.0,0.06930393818799112,False,0.25,384,0.265625,0
1.0,0.0,0.0,0.6782577226161598,True,0.0,0,0.0,0
1.0,0.1,0.0,0.6491458071319933,False,0.013392857142857142,18,0.013392857142857142,0
1.0,0.2,0.0,0.6385610012681884,False,0.09598214285714286,147,0.0974702380952381,0
1.0,0.3,0.0,0.6162399051622468,False,0.109375,165,0.11086309523809523,0
1.0,0.4,0.0,0.6127366469206249,False,0.203125,186,0.21354166666666666,0
1.0,0.5,0.0,0.6070702875584469,False,0.203125,312,0.21354166666666666,0
1.0,0.6,0.0,0.5859647871588606,False,0.20535714285714285,315,0.21651785714285715,0
1.0,0.7,0.0,0.577387469033052,False,0.21875,336,0.234375,0
1.0,0.8,0.0,0.5448283242937713,False,0.21875,336,0.234375,0
1.0,0.9,0.0,0.22423151102680308,False,0.234375,360,0.25,0
1.0,1.0,0.0,0.06930393818799112,False,0.25,384,0.265625,0
