workflow,job,os,command,works_in_current_repo,assumes_deleted_root_distribution,windows_or_linux_only_path,trigger_paths_cover_affecting_files,notes
python.yml,quality,ubuntu-latest,"python -m pip install -q .[dev]",NO - fails immediately,YES,no,NO,"Root pyproject.toml has no [project]/[build-system] table; setuptools flat-layout auto-discovery finds site/packages/research/zeromodel/integration_tests as top-level and aborts. Verified by reproducing the exact pip error. Step is not wrapped in continue-on-error, so the job hard-fails before check_quality.py ever runs."
python.yml,quality,ubuntu-latest,"python scripts/check_quality.py > build/ci/quality.log 2>&1",UNREACHABLE,YES,no,NO,"Never executes because the prior install step fails first."
python.yml,package-tests,ubuntu-latest (matrix 3.10/3.11/3.12),"python -m pip install -q -e .[dev]",NO - fails immediately,YES,no,NO,"Same root-is-non-buildable failure as the quality job; fails on all three Python versions."
python.yml,package-tests,ubuntu-latest,"python scripts/run_fast_tests.py > build/ci/fast-suite.log 2>&1",UNREACHABLE,YES,no,NO,"Never executes; install step fails first."
python.yml,lua-edge,ubuntu-latest,"python -m pip install -q -e .[dev]",NO - fails immediately,YES,no,NO,"Same root install failure."
python.yml,lua-edge,ubuntu-latest,"python -m pytest -q tests/test_lua_policy.py",UNREACHABLE / FILE MISSING,YES,no,NO,"tests/test_lua_policy.py does not exist anywhere in the repo (verified with find); job would fail a second, independent way even if install were fixed."
python.yml,lua-edge,ubuntu-latest,"python examples/lua_edge_policy.py --output build/lua/arcade_policy.lua",UNREACHABLE,n/a,no,NO,"Never reached; examples/lua_edge_policy.py and examples/lua/run_arcade_policy.lua do exist, so this step would work once install/prior step are fixed."
python.yml,package-build,ubuntu-latest,"python -m pip install -q -e .[release]",NO - fails immediately,YES,no,NO,"Root has no [project] table / release extra."
python.yml,package-build,ubuntu-latest,"python -m build",UNREACHABLE / would also fail standalone,YES,no,NO,"Root is intentionally non-buildable (no [project] table); `python -m build` on the repo root fails independently of the extras issue."
python.yml,package-build,ubuntu-latest,"python -m twine check dist/*",UNREACHABLE,YES,no,NO,n/a
package-integration.yml,package-integration,ubuntu-latest (matrix 3.10/3.11/3.12),"python -m pip install build twine pytest ruff mypy",YES,NO,no,PARTIAL,"Does not install the six workspace packages editable; relies entirely on root pyproject.toml's [tool.pytest.ini_options] pythonpath entries to make packages/*/src importable during pytest collection. Works for plain imports but not for anything that checks installed dist-info/pip metadata."
package-integration.yml,package-integration,ubuntu-latest,"python scripts/run_fast_tests.py",YES (packages/*/tests not included - see fast-suite finding),NO,no,PARTIAL,"testpaths=[tests, integration_tests] only; the six package-local suites (144 tests) are never collected by this command. Trigger paths omit tests/** and integration_tests root pyproject changes."
package-integration.yml,package-integration,ubuntu-latest,"python scripts/check_quality.py",YES (green) but vacuous architecture step + sqlalchemy uncovered,NO (script itself is fine) but check_architecture.py it calls assumes deleted root,no,PARTIAL,"See quality-coverage CSV: Architecture step checks 0 modules (points at deleted root zeromodel/); zeromodel-sqlalchemy is entirely absent from ruff/mypy coverage."
package-integration.yml,package-integration,ubuntu-latest,"python scripts/validate_release_candidate.py",NO - crashes,NO,YES (Windows-only),PARTIAL,"install_and_probe() hardcodes `venv / 'Scripts' / 'python.exe'` (scripts/validate_release_candidate.py:214). On ubuntu-latest a venv has bin/python, not Scripts/python.exe, so subprocess.run raises FileNotFoundError. This step fails on every matrix leg of this job every time it runs. BLOCKER."
publish-testpypi.yml,publish-testpypi,ubuntu-latest,"python -m pip install -e .[release]",NO - fails immediately,YES,no,NO,"Same root non-buildable failure; workflow_dispatch-only but would fail on the very first real invocation."
publish-testpypi.yml,publish-testpypi,ubuntu-latest,"python -m build",UNREACHABLE / would fail standalone,YES,no,NO,"Builds the (non-existent) root distribution instead of the six packages/* distributions; never invokes `python -m build packages/<name>`."
publish-testpypi.yml,publish-testpypi,ubuntu-latest,"python -m twine check dist/*",UNREACHABLE,YES,no,NO,n/a
publish-testpypi.yml,publish-testpypi,ubuntu-latest,"pypa/gh-action-pypi-publish (TestPyPI)",UNREACHABLE,YES,no,NO,"There is currently no working CI path that publishes any of the six real distributions to TestPyPI or PyPI."
core-package.yml,core,ubuntu-latest,"python -m pip install build twine pytest ruff mypy",YES,NO,no,MOSTLY (missing pyproject.toml as trigger unlike sibling workflows),n/a
core-package.yml,core,ubuntu-latest,"python -m ruff format --check / ruff check / mypy packages/core/src[,tests]",YES,NO,no,YES,n/a
core-package.yml,core,ubuntu-latest,"python scripts/check_package_boundaries.py",YES (112 modules, passes),NO,no,YES,"Verified: passes cleanly in a clean checkout at the baseline SHA."
core-package.yml,core,ubuntu-latest,"python -m build packages/core && python -m twine check packages/core/dist/*",YES,NO,no,YES,n/a
core-package.yml,core,ubuntu-latest,"build/core-ci-venv/bin/python -m pytest -q packages/core/tests (CORE_WHEEL_PATH set)",YES,NO,no (correct bin/ path for ubuntu-latest),YES,"Self-consistent with its own ubuntu-latest runner."
analysis-package.yml,validate-analysis,windows-latest,"python -m pip install build twine pytest ruff mypy numpy",YES,NO,no,YES,n/a
analysis-package.yml,validate-analysis,windows-latest,"python -m build packages/core && packages/analysis (+twine check each)",YES,NO,no,YES,n/a
analysis-package.yml,validate-analysis,windows-latest,"ruff/mypy on packages/analysis/src,tests",YES,NO,no,YES,n/a
analysis-package.yml,validate-analysis,windows-latest,"python scripts/check_package_boundaries.py",YES,NO,no,YES,n/a
analysis-package.yml,validate-analysis,windows-latest,"build/analysis-ci-venv/Scripts/python.exe -m pytest -q packages/analysis/tests (ANALYSIS_WHEEL_PATH set)",YES,NO,YES but self-consistent (runner is windows-latest),YES,"Correct Scripts/ path for its own windows-latest runner; only a portability concern if the runner OS were ever changed."
analysis-package.yml,validate-analysis,windows-latest,"python -c \"import inspect, zeromodel.core, zeromodel.analysis; ...\"",YES,NO,no,YES,n/a
observation-package.yml,validate-observation,windows-latest,"(same pattern as analysis-package.yml for observation)",YES,NO,no,YES,n/a
vision-package.yml,validate-vision,windows-latest,"(same pattern, builds core+observation+vision)",YES,NO,no,YES,n/a
video-package.yml,validate-video,windows-latest,"(same pattern, builds core+observation+video)",YES,NO,no,YES,n/a
sqlalchemy-package.yml,validate-sqlalchemy,windows-latest,"(same pattern, builds core+observation+video+sqlalchemy, installs SQLAlchemy)",YES,NO,no,YES,"This is the only workflow that actually lints/type-checks/tests packages/sqlalchemy at all; it is Windows-only, so zeromodel-sqlalchemy has zero Linux CI coverage."
"(cross-cutting)","(all five dependent-package workflows)",windows-latest only,n/a,n/a,n/a,YES (deliberate OS split),n/a,"analysis/observation/vision/video/sqlalchemy packages are validated on Windows only; core is validated on Linux only (core-package.yml). package-integration.yml would be the only Linux-wide validation of all six packages together, but it always fails at the validate_release_candidate.py step (see above). Net effect: five of six distributions currently receive no successful Linux CI validation, despite pyproject classifiers declaring 'Operating System :: OS Independent'."
integration.yml,integration-tests,ubuntu-latest,"python -m pip install -e .[dev]",NO - fails immediately,YES,no,NO,"Same root non-buildable failure. workflow_dispatch-only so it does not gate PRs, but is fully non-functional on manual invocation."
integration.yml,integration-tests,ubuntu-latest,"python -m pytest -q --run-integration --run-slow -m \"integration or slow\" --durations=50",UNREACHABLE,YES,no,NO,n/a
claims-audit.yml,claims-audit,ubuntu-latest,"git diff --name-only $BASE_SHA $HEAD_SHA (python heredoc gate checking paths startswith 'zeromodel/')",YES but VACUOUS,YES,no,NO,"Real package source now lives under packages/<name>/src/zeromodel/..., never under a bare root 'zeromodel/' prefix (that directory is untracked/deleted). package_changed is therefore always False for genuine package-code changes, so this governance gate can no longer require a claims-audit update no matter what production code changes. Silent regression, not a crash."
claims-audit.yml,claims-audit,ubuntu-latest,"(commented-out) python scripts/check_visual_evidence_impact.py",DISABLED,n/a,no,n/a,"Step is commented out in the workflow file; informational only, not a new regression from the split."
pages.yml,validate / deploy,ubuntu-latest,"test -f site/index.html; python heredoc asset check; actions/deploy-pages",YES,NO,no,YES,"Unrelated to the package split; scoped to site/** only. No findings."
visual-address-benchmark.yml,frozen-encoder-smoke,ubuntu-latest,"python -m pip install -e '.[vision]'",NO - fails immediately,YES,no,n/a (workflow_dispatch only),"Same root non-buildable / missing-extras failure as python.yml and publish-testpypi.yml. Workflow's own header comment says it is a manually invoked research reproduction, not a routine gate, so blast radius is lower, but it is currently non-functional if dispatched."
visual-address-benchmark.yml,frozen-encoder-smoke,ubuntu-latest,"python .github/scripts/run_visual_address_smoke.py ...",UNREACHABLE,n/a,no,n/a,n/a
